Accident_Date,Airline,Severity,Fatalities,Survivors,Aircraft_Type,Accident_Cause,Location,Weather_Condition,Altitude_ft,Speed_knots,Pilot_Experience_Years,Time_of_Accident,Majority_Survivor_Location,Plane_Damage
27/06/2010,Qatar Airways,Severe,206,241,Boeing 747,Pilot error,"New York, USA",Windy,9945,358,24,Daylight,Front,Partial - High Monetary Damage
17/03/2024,Emirates,Minor,0,147,Boeing 777,Fuel exhaustion,"New York, USA",Windy,7796,445,29,Daylight,Front,Partial - High Monetary Damage
14/10/2022,Air India,Severe,137,230,Airbus A380,Landing gear malfunction,"Mumbai, India",Windy,22829,196,21,Daylight,Back,Full Plane
31/01/2022,Qatar Airways,Minor,3,90,Airbus A350,Fuel exhaustion,"Paris, France",Clear,18609,104,14,Daylight,Back,Partial - High Monetary Damage
25/05/2018,Delta,Minor,0,255,Bombardier CRJ900,Structural failure,"Dubai, UAE",Thunderstorm,3138,172,34,Night,Front,Partial - Low Monetary Damage
13/04/2014,Delta,Minor,9,291,Airbus A380,Structural failure,"São Paulo, Brazil",Windy,4989,281,20,Daylight,Front,Partial - High Monetary Damage
15/04/2020,Air India,Minor,10,116,Bombardier CRJ900,Fuel exhaustion,"Mumbai, India",Snow,15562,363,33,Daylight,Front,Partial - High Monetary Damage
12/07/2013,United,Severe,240,296,Airbus A320,Runway excursion,"Paris, France",Clear,5400,291,5,Night,Front,Partial - High Monetary Damage
27/03/2011,British Airways,Minor,4,89,Airbus A320,Engine failure during takeoff,"São Paulo, Brazil",Thunderstorm,21988,200,7,Daylight,Back,Partial - Low Monetary Damage
04/06/2015,United,Severe,137,73,Boeing 777,Lightning strike,"Sydney, Australia",Thunderstorm,14273,236,6,Daylight,Back,Partial - High Monetary Damage
01/03/2015,Delta,Minor,8,208,Boeing 777,Structural failure,"Paris, France",Snow,21724,561,21,Night,Front,Partial - Low Monetary Damage
12/10/2017,Singapore Airlines,Minor,7,257,Boeing 777,Pilot error,"London, UK",Clear,3368,583,32,Daylight,Front,Partial - Low Monetary Damage
03/01/2011,Delta,Severe,142,142,Boeing 737,Fuel exhaustion,"New York, USA",Thunderstorm,26932,596,3,Night,Front,Full Plane
09/04/2017,Air India,Severe,196,292,Bombardier CRJ900,Mid-air collision,"Mumbai, India",Windy,39112,314,13,Daylight,Back,Full Plane
18/08/2011,Turkish Airlines,Minor,5,167,Bombardier CRJ900,Mid-air collision,"New York, USA",Thunderstorm,28399,495,20,Daylight,Front,Partial - Low Monetary Damage
19/12/2018,Turkish Airlines,Minor,0,133,Airbus A350,Runway excursion,"Mumbai, India",Windy,12159,262,30,Daylight,Front,Partial - High Monetary Damage
30/01/2011,American Airlines,Severe,180,80,Embraer 190,Lightning strike,"Dubai, UAE",Rain,25463,373,24,Daylight,Back,Partial - High Monetary Damage
25/10/2012,Emirates,Minor,2,255,Boeing 737,Engine failure during takeoff,"Beijing, China",Windy,4353,517,26,Daylight,Back,Full Plane
30/07/2015,British Airways,Minor,5,213,Airbus A350,Landing gear malfunction,"Paris, France",Fog,26641,140,4,Night,Back,Partial - High Monetary Damage
17/12/2012,United,Minor,7,64,Airbus A320,Bird strike,"São Paulo, Brazil",Windy,35905,278,6,Daylight,Back,Partial - High Monetary Damage
29/04/2017,Turkish Airlines,Severe,83,126,Embraer 190,Mid-air collision,"Paris, France",Clear,16598,207,27,Night,Back,Full Plane
25/02/2012,British Airways,Minor,3,126,Bombardier CRJ900,Fuel exhaustion,"São Paulo, Brazil",Rain,22570,586,19,Night,Back,Partial - High Monetary Damage
21/08/2010,United,Severe,96,202,Boeing 737,Pilot error,"New York, USA",Windy,22094,418,11,Daylight,Front,Full Plane
07/12/2020,Emirates,Minor,10,293,Boeing 747,Landing gear malfunction,"Mumbai, India",Snow,10958,579,25,Night,Back,Full Plane
23/11/2025,Delta,Severe,98,261,Embraer 190,Landing gear malfunction,"São Paulo, Brazil",Snow,21179,369,12,Daylight,Back,Partial - Low Monetary Damage
06/01/2012,Air India,Severe,53,109,Embraer 190,Bird strike,"Dubai, UAE",Clear,11501,497,20,Night,Front,Partial - High Monetary Damage
15/03/2018,Lufthansa,Severe,51,72,Airbus A320,Controlled flight into terrain,"Sydney, Australia",Clear,32561,375,22,Night,Front,Partial - High Monetary Damage
30/12/2017,Lufthansa,Minor,7,158,Airbus A320,Bird strike,"Tokyo, Japan",Thunderstorm,20439,286,21,Night,Front,Full Plane
10/04/2017,British Airways,Severe,51,15,Airbus A320,Landing gear malfunction,"Dubai, UAE",Windy,4918,426,19,Night,Back,Partial - High Monetary Damage
26/12/2021,Singapore Airlines,Minor,8,241,Boeing 747,Fuel exhaustion,"Tokyo, Japan",Rain,132,185,27,Night,Front,Partial - High Monetary Damage
08/03/2021,Singapore Airlines,Severe,157,89,Airbus A350,Sabotage,"Tokyo, Japan",Snow,9104,455,11,Daylight,Back,Full Plane
20/03/2011,Qatar Airways,Minor,1,263,Bombardier CRJ900,Pilot error,"New York, USA",Windy,23808,160,1,Daylight,Front,Full Plane
08/03/2023,Qatar Airways,Severe,192,43,Embraer 190,Engine failure during takeoff,"New York, USA",Windy,18546,350,12,Daylight,Front,Partial - Low Monetary Damage
26/12/2015,Qatar Airways,Minor,6,176,Airbus A380,Severe turbulence,"Toronto, Canada",Fog,31887,381,8,Daylight,Back,Full Plane
22/03/2024,Lufthansa,Minor,9,257,Boeing 777,Landing gear malfunction,"Sydney, Australia",Windy,4260,408,15,Night,Back,Partial - High Monetary Damage
30/08/2025,Delta,Severe,258,53,Airbus A320,Controlled flight into terrain,"São Paulo, Brazil",Snow,30575,267,22,Daylight,Back,Partial - High Monetary Damage
05/03/2011,Emirates,Severe,127,213,Boeing 737,Fuel exhaustion,"Sydney, Australia",Clear,38256,275,17,Night,Back,Partial - High Monetary Damage
18/02/2016,British Airways,Minor,8,38,Boeing 777,Lightning strike,"Dubai, UAE",Rain,35573,548,25,Night,Front,Partial - High Monetary Damage
29/05/2013,Turkish Airlines,Minor,4,256,Airbus A320,Lightning strike,"Toronto, Canada",Clear,39138,418,40,Daylight,Front,Partial - High Monetary Damage
01/06/2013,Singapore Airlines,Severe,150,13,Boeing 777,Fuel exhaustion,"Sydney, Australia",Fog,18082,513,11,Night,Back,Partial - High Monetary Damage
11/07/2024,American Airlines,Minor,10,259,Airbus A380,Mid-air collision,"Paris, France",Thunderstorm,34117,417,10,Night,Back,Full Plane
30/05/2025,United,Minor,7,15,Bombardier CRJ900,Engine failure during takeoff,"Paris, France",Clear,34453,129,16,Daylight,Back,Partial - Low Monetary Damage
21/02/2025,Emirates,Minor,4,273,Airbus A350,Engine failure during takeoff,"Dubai, UAE",Clear,23520,514,37,Night,Back,Full Plane
16/09/2016,Air India,Severe,169,287,Boeing 747,Sabotage,"São Paulo, Brazil",Thunderstorm,27913,395,19,Daylight,Back,Full Plane
